timestamp,open,high,low,close,volume,time_iso,ohlc,is_closed,RSI,MACD,MACD_Signal,MACD_Histogram,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,ATR,Stoch_K,Stoch_D,Williams_R,CCI,VWAP,Volume_RSI,OBV,Momentum,ROC
1757779200000,115786.7,115836.8,115126.0,115583.9,0,2025-09-13T16:00:00Z,"{'open': 115786.7, 'high': 115836.8, 'low': 115126.0, 'close': 115583.9}",True,,,,,,,,,,0.0,,,,,,,0,,
1757764800000,115991.5,116079.0,115619.4,115786.7,1,2025-09-13T12:00:00Z,"{'open': 115991.5, 'high': 116079.0, 'low': 115619.4, 'close': 115786.7}",True,,,,,,,,,,0.0,,,,,,,1,,
1757750400000,115807.7,116212.2,115803.3,115991.5,1,2025-09-13T08:00:00Z,"{'open': 115807.7, 'high': 116212.2, 'low': 115803.3, 'close': 115991.5}",True,,,,,,,,,,0.0,,,,,,,2,,
1757736000000,115988.7,115988.7,115687.0,115807.7,1,2025-09-13T04:00:00Z,"{'open': 115988.7, 'high': 115988.7, 'low': 115687.0, 'close': 115807.7}",True,,,,,,,,,,0.0,,,,,,,1,,
1757721600000,116073.0,116310.7,115616.5,115988.8,1,2025-09-13T00:00:00Z,"{'open': 116073.0, 'high': 116310.7, 'low': 115616.5, 'close': 115988.8}",True,,,,,,,,,,0.0,,,,,,,2,,
1757707200000,116686.5,116686.5,115774.8,116073.0,1,2025-09-12T20:00:00Z,"{'open': 116686.5, 'high': 116686.5, 'low': 115774.8, 'close': 116073.0}",True,,,,,,,,,,0.0,,,,,,,3,,
1757692800000,115092.0,116711.2,114996.6,116687.1,1,2025-09-12T16:00:00Z,"{'open': 115092.0, 'high': 116711.2, 'low': 114996.6, 'close': 116687.1}",True,,,,,,,,,,0.0,,,,,,,4,,
1757678400000,114903.7,115461.7,114727.2,115092.0,1,2025-09-12T12:00:00Z,"{'open': 114903.7, 'high': 115461.7, 'low': 114727.2, 'close': 115092.0}",True,,,,,,,,,,0.0,,,,,,,3,,
1757664000000,115079.1,115280.0,114870.3,114903.7,1,2025-09-12T08:00:00Z,"{'open': 115079.1, 'high': 115280.0, 'low': 114870.3, 'close': 114903.7}",True,,,,,,,,,,0.0,,,,,,,2,,
1757649600000,115194.9,115654.8,115067.9,115079.3,1,2025-09-12T04:00:00Z,"{'open': 115194.9, 'high': 115654.8, 'low': 115067.9, 'close': 115079.3}",True,,,,,,,,,,0.0,,,,,,,3,,
1757635200000,115480.1,116311.6,115039.9,115195.3,1,2025-09-12T00:00:00Z,"{'open': 115480.1, 'high': 116311.6, 'low': 115039.9, 'close': 115195.3}",True,,,,,,,,,,0.0,,,,,,,4,-388.59999999999127,
1757620800000,114404.8,115482.7,114227.6,115480.2,1,2025-09-11T20:00:00Z,"{'open': 114404.8, 'high': 115482.7, 'low': 114227.6, 'close': 115480.2}",True,,,,,,,,,,0.0,,,,,,,5,-306.5,
1757606400000,114154.8,114601.0,114081.1,114400.4,1,2025-09-11T16:00:00Z,"{'open': 114154.8, 'high': 114601.0, 'low': 114081.1, 'close': 114400.4}",True,,,,,,,,,,0.0,,,,,,,4,-1591.1000000000058,-1.0239315337170662
1757592000000,113999.6,114713.1,113397.6,114154.8,1,2025-09-11T12:00:00Z,"{'open': 113999.6, 'high': 114713.1, 'low': 113397.6, 'close': 114154.8}",True,31.5715195263911,,,,,,,,,972.75,22.851279575084472,,-77.14872042491552,,115411.35641025641,100.0,3,-1652.8999999999942,-1.4094019434010938
1757577600000,114076.4,114186.3,113752.2,113999.5,1,2025-09-11T08:00:00Z,"{'open': 114076.4, 'high': 114186.3, 'low': 113752.2, 'close': 113999.5}",True,30.18335906452141,,,,,,,,,934.2750000000004,18.164534041525705,,-81.8354659584743,,115309.06904761904,100.0,2,-1989.300000000003,-1.7173672208739432
1757563200000,114384.1,114444.7,113933.3,114076.4,1,2025-09-11T04:00:00Z,"{'open': 114384.1, 'high': 114444.7, 'low': 113933.3, 'close': 114076.4}",True,31.782833954769984,,,,,,,,,904.0696428571429,20.48527281506489,20.50036214389169,-79.51472718493511,,115189.29047619048,100.0,3,-1996.6000000000058,-1.4949783131864314
1757548800000,113936.4,114421.0,113635.1,114384.1,1,2025-09-11T00:00:00Z,"{'open': 113936.4, 'high': 114421.0, 'low': 113635.1, 'close': 114384.1}",True,37.912136156648586,,,,,,,,,895.6289540816323,29.771245774988007,22.80701754385953,-70.228754225012,,115056.74761904763,100.0,4,-2303.0,-1.3834956478556526
1757534400000,113541.8,114005.4,113494.9,113936.4,1,2025-09-10T20:00:00Z,"{'open': 113541.8, 'high': 114005.4, 'low': 113494.9, 'close': 113936.4}",True,33.23332575151086,,,,,,,,,895.1697430758022,16.260260743601815,22.172259777884904,-83.73973925639818,,114912.77857142857,100.0,3,-1155.6000000000058,-1.8407381561603524
